Year,Month,Exchange Rate
2010,January,69.12
2010,February,69.25
2010,March,69.20
2010,April,69.28
2010,May,69.35
2010,June,69.42
2010,July,69.45
2010,August,69.50
2010,September,69.65
2010,October,69.80
2010,November,70.20
2010,December,70.75
2011,January,71.15
2011,February,71.30
2011,March,71.95
2011,April,72.40
2011,May,73.20
2011,June,74.10
2011,July,74.50
2011,August,74.80
2011,September,75.30
2011,October,76.10
2011,November,77.50
2011,December,81.80
2012,January,81.75
2012,February,81.50
2012,March,81.80
2012,April,81.90
2012,May,81.85
2012,June,81.82
2012,July,81.70
2012,August,81.65
2012,September,81.60
2012,October,81.25
2012,November,80.15
2012,December,79.75
2013,January,79.45
2013,February,78.90
2013,March,78.20
2013,April,78.10
2013,May,77.85
2013,June,77.75
2013,July,77.74
2013,August,77.75
2013,September,77.76
2013,October,77.75
2013,November,77.75
2013,December,77.75
2014,January,77.72
2014,February,77.72
2014,March,77.73
2014,April,77.70
2014,May,77.65
2014,June,77.63
2014,July,77.60
2014,August,77.55
2014,September,77.40
2014,October,77.40
2014,November,77.42
2014,December,77.65
2015,January,77.68
2015,February,77.75
2015,March,77.80
2015,April,77.80
2015,May,77.80
2015,June,77.80
2015,July,77.80
2015,August,77.80
2015,September,77.80
2015,October,77.82
2015,November,78.10
2015,December,78.45
2016,January,78.50
2016,February,78.55
2016,March,78.40
2016,April,78.40
2016,May,78.40
2016,June,78.40
2016,July,78.40
2016,August,78.40
2016,September,78.40
2016,October,78.42
2016,November,78.52
2016,December,78.70
2017,January,78.72
2017,February,79.24
2017,March,79.60
2017,April,80.23
2017,May,80.50
2017,June,80.58
2017,July,80.64
2017,August,80.69
2017,September,80.73
2017,October,80.81
2017,November,81.45
2017,December,82.70
2018,January,82.90
2018,February,82.96
2018,March,82.96
2018,April,82.98
2018,May,83.40
2018,June,83.70
2018,July,83.75
2018,August,83.75
2018,September,83.75
2018,October,83.82
2018,November,83.88
2018,December,83.90
2019,January,83.95
2019,February,84.15
2019,March,84.25
2019,April,84.35
2019,May,84.45
2019,June,84.50
2019,July,84.50
2019,August,84.50
2019,September,84.55
2019,October,84.60
2019,November,84.75
2019,December,84.90
2020,January,84.90
2020,February,84.95
2020,March,84.95
2020,April,84.95
2020,May,84.95
2020,June,84.90
2020,July,84.80
2020,August,84.85
2020,September,84.80
2020,October,84.80
2020,November,84.80
2020,December,84.80
2021,January,84.80
2021,February,84.80
2021,March,84.80
2021,April,84.80
2021,May,84.80
2021,June,84.81
2021,July,84.80
2021,August,85.20
2021,September,85.25
2021,October,85.61
2021,November,85.80
2021,December,85.80
2022,January,86.00
2022,February,86.00
2022,March,86.20
2022,April,86.20
2022,May,87.20
2022,June,92.90
2022,July,93.45
2022,August,95.00
2022,September,101.50
2022,October,101.90
2022,November,102.30
2022,December,102.50
2023,January,104.20
2023,February,104.80
2023,March,105.10
2023,April,106.30
2023,May,107.10
2023,June,108.40
2023,July,108.90
2023,August,109.50
2023,September,110.00
2023,October,110.25
2023,November,110.50
2023,December,110.00
2024,January,110.00
2024,February,110.00
2024,March,110.00
2024,April,110.00
2024,May,117.20
2024,June,117.80
2024,July,118.00
2024,August,118.50
2024,September,119.00
2024,October,119.30
2024,November,119.20
2024,December,119.10
2025,January,119.50
2025,February,119.80
2025,March,119.95
2025,April,120.10
2025,May,120.30
2025,June,120.50
2025,July,120.80
2025,August,120.90
2025,September,121.10
2025,October,121.15
2025,November,121.10
2025,December,121.40
2026,January,121.50
2026,February,121.65
2026,March,122.15
2026,April,122.20
2026,May,122.25
2026,June,122.30
2026,July,122.35
2026,August,122.37
