Year,Month,Remittance (USD Millions),Inflation Rate (YoY %),USD to BDT Exchange Rate
2010,January,842.9,8.55,69.22
2010,February,849.84,8.61,69.27
2010,March,892.45,8.69,69.31
2010,April,894.03,8.63,69.33
2010,May,944.17,8.38,69.3
2010,June,1025.56,8.27,69.51
2010,July,961.92,8.67,69.49
2010,August,880.94,8.41,69.54
2010,September,853.28,8.65,69.58
2010,October,806.19,8.21,69.5
2010,November,837.51,8.71,69.65
2010,December,869.19,8.52,69.63
2011,January,928.02,10.71,74.1
2011,February,915.88,10.95,74.08
2011,March,999.28,10.51,74.29
2011,April,978.02,11.01,74.27
2011,May,1073.38,10.82,74.31
2011,June,1054.16,10.62,74.35
2011,July,1071.57,10.54,74.27
2011,August,974.64,10.7,74.43
2011,September,935.09,11.01,74.4
2011,October,943.53,10.86,74.43
2011,November,990.21,10.96,74.63
2011,December,902.82,10.91,74.68
2012,January,1093.06,8.1,81.54
2012,February,1089.36,8.41,81.59
2012,March,1078.9,8.26,81.63
2012,April,1143.44,8.36,81.55
2012,May,1223.46,8.31,81.7
2012,June,1306.83,8.27,81.68
2012,July,1284.91,8.2,81.71
2012,August,1086.12,8.3,81.91
2012,September,1080.19,8.14,81.96
2012,October,1098.19,8.31,81.96
2012,November,1132.21,8.16,81.95
2012,December,1096.68,8.1,81.91
2013,January,1131.38,7.6,78.02
2013,February,1066.25,7.44,78.18
2013,March,1111.14,7.61,78.15
2013,April,1170.74,7.46,78.18
2013,May,1317.98,7.4,78.38
2013,June,1359.42,7.33,78.43
2013,July,1366.91,7.51,78.44
2013,August,1151.05,7.41,78.43
2013,September,1114.49,7.5,78.38
2013,October,1198.24,7.26,78.62
2013,November,1182.04,7.24,78.61
2013,December,1114.69,7.74,78.47
2014,January,1220.0,6.91,77.56
2014,February,1199.66,7.0,77.76
2014,March,1283.09,6.76,77.81
2014,April,1284.54,6.74,77.81
2014,May,1438.11,7.24,77.8
2014,June,1397.21,7.15,77.76
2014,July,1414.58,7.11,77.99
2014,August,1272.0,6.73,77.98
2014,September,1274.76,7.15,77.84
2014,October,1226.81,7.17,77.94
2014,November,1289.73,6.93,78.07
2014,December,1209.61,7.11,78.15
2015,January,1225.06,6.13,77.89
2015,February,1211.23,6.55,77.88
2015,March,1311.27,6.57,77.83
2015,April,1310.63,6.33,78.07
2015,May,1473.45,6.51,78.06
2015,June,1510.46,6.24,77.92
2015,July,1476.41,6.16,78.02
2015,August,1223.85,6.58,78.15
2015,September,1259.97,6.38,78.22
2015,October,1285.54,6.37,78.14
2015,November,1272.48,6.17,78.28
2015,December,1220.14,6.68,78.25
2016,January,1103.32,5.78,78.84
2016,February,1028.2,5.58,78.83
2016,March,1143.4,5.57,78.69
2016,April,1155.83,5.37,78.79
2016,May,1342.25,5.88,78.92
2016,June,1306.55,5.68,79.0
2016,July,1252.08,5.32,78.91
2016,August,1174.22,5.37,79.05
2016,September,1174.0,5.6,79.02
2016,October,1085.7,5.31,79.04
2016,November,1086.36,5.5,79.18
2016,December,1080.88,5.49,79.16
2017,January,1022.81,5.37,80.37
2017,February,1087.87,5.6,80.5
2017,March,1073.81,5.31,80.57
2017,April,1107.89,5.5,80.49
2017,May,1337.07,5.49,80.63
2017,June,1336.22,5.57,80.6
2017,July,1245.76,5.69,80.62
2017,August,1113.88,5.57,80.75
2017,September,1101.81,5.86,80.73
2017,October,1169.72,5.56,80.68
2017,November,1110.19,5.47,80.69
2017,December,1113.85,5.58,80.97
2018,January,1257.92,5.57,83.46
2018,February,1223.43,5.86,83.6
2018,March,1326.89,5.56,83.57
2018,April,1271.02,5.47,83.59
2018,May,1519.71,5.58,83.73
2018,June,1489.42,5.61,83.71
2018,July,1532.98,5.47,83.65
2018,August,1280.88,5.55,83.66
2018,September,1309.81,5.74,83.94
2018,October,1298.67,5.38,83.86
2018,November,1248.3,5.52,84.01
2018,December,1257.98,5.55,83.94
2019,January,1440.65,5.55,84.47
2019,February,1408.83,5.74,84.6
2019,March,1562.61,5.38,84.58
2019,April,1574.91,5.52,84.53
2019,May,1772.26,5.55,84.54
2019,June,1756.6,5.58,84.82
2019,July,1796.82,5.3,84.74
2019,August,1512.74,5.66,84.89
2019,September,1502.26,5.73,84.81
2019,October,1508.14,5.39,84.98
2019,November,1484.45,5.37,84.86
2019,December,1483.51,5.4,84.96
2020,January,1677.14,5.66,84.8
2020,February,1750.24,5.73,84.81
2020,March,1857.38,5.39,85.09
2020,April,1839.4,5.37,85.01
2020,May,2078.9,5.4,85.16
2020,June,2047.09,5.64,85.09
2020,July,2061.97,5.32,85.25
2020,August,1795.68,5.46,85.14
2020,September,1858.04,5.59,85.23
2020,October,1844.59,5.74,85.29
2020,November,1795.41,5.88,85.28
2020,December,1777.88,5.79,85.35
2021,January,1766.72,5.46,85.09
2021,February,1712.96,5.59,85.24
2021,March,1877.35,5.74,85.16
2021,April,1856.72,5.88,85.33
2021,May,2102.32,5.79,85.21
2021,June,2105.48,5.35,85.31
2021,July,2598.21,5.77,85.37
2021,August,1862.7,5.4,85.36
2021,September,1813.32,5.49,85.42
2021,October,1883.89,5.69,85.59
2021,November,1887.32,5.89,85.47
2021,December,1871.53,5.57,85.7
2022,January,1634.71,7.3,93.9
2022,February,1633.78,7.39,93.91
2022,March,1749.64,7.59,94.13
2022,April,1780.63,7.79,94.32
2022,May,2010.58,7.47,94.43
2022,June,2030.92,7.68,94.62
2022,July,2038.19,7.53,94.92
2022,August,1722.68,7.44,94.92
2022,September,1783.7,7.77,95.27
2022,October,1786.96,7.6,95.37
2022,November,1819.68,7.26,95.38
2022,December,1752.04,7.31,95.73
2023,January,1698.35,9.44,106.52
2023,February,1735.41,9.77,106.63
2023,March,1860.0,9.6,106.82
2023,April,1772.73,9.26,107.12
2023,May,2072.52,9.31,107.12
2023,June,2103.13,9.51,107.47
2023,July,2076.76,9.41,107.57
2023,August,1792.97,9.76,107.58
2023,September,1860.67,9.32,107.93
2023,October,1811.98,9.68,107.9
2023,November,1800.9,9.71,108.22
2023,December,1851.12,9.59,108.2
2024,January,1845.28,9.96,117.32
2024,February,1886.2,9.52,117.32
2024,March,2039.15,9.88,117.67
2024,April,1957.11,9.91,117.77
2024,May,2278.46,9.79,117.78
2024,June,2299.83,9.82,118.13
2024,July,2288.95,9.92,118.1
2024,August,1982.11,9.64,118.42
2024,September,1991.33,9.64,118.4
2024,October,1964.7,9.78,118.75
2024,November,2030.9,9.81,118.85
2024,December,2001.25,9.67,119.06
2025,January,2035.36,9.14,119.57
2025,February,2021.59,9.14,119.45
2025,March,2175.36,9.28,119.68
2025,April,2196.78,9.31,119.52
2025,May,2430.23,9.17,119.72
2025,June,2494.69,9.0,119.57
2025,July,2469.6,9.19,119.8
2025,August,2107.15,9.23,119.78
2025,September,2134.52,9.34,119.86
2025,October,2167.25,9.05,119.91
2025,November,2193.36,9.31,119.94
2025,December,2183.09,9.31,119.82
2026,January,2229.19,8.83,122.0
2026,February,2234.16,8.94,122.2
2026,March,3752.21,8.65,122.05
2026,April,2321.68,8.91,122.27
2026,May,2674.55,9.42,122.25
2026,June,2714.71,8.82,122.34
2026,July,2672.17,8.32,122.38
2026,August,2379.33,8.87,122.37
