Year,Month,Inflation Rate (YoY Point-to-Point)
2010,January,8.14%
2010,February,8.03%
2010,March,8.05%
2010,April,8.14%
2010,May,8.47%
2010,June,7.88%
2010,July,8.41%
2010,August,7.76%
2010,September,8.4%
2010,October,7.71%
2010,November,8.32%
2010,December,7.84%
2011,January,11.12%
2011,February,11.62%
2011,March,11.41%
2011,April,11.68%
2011,May,11.18%
2011,June,11.24%
2011,July,11.52%
2011,August,11.08%
2011,September,11.47%
2011,October,11.04%
2011,November,11.17%
2011,December,11.41%
2012,January,6.57%
2012,February,6.5%
2012,March,6.05%
2012,April,6.14%
2012,May,6.38%
2012,June,6.49%
2012,July,6.32%
2012,August,6.03%
2012,September,6.49%
2012,October,6.0%
2012,November,5.83%
2012,December,6.17%
2013,January,7.68%
2013,February,7.86%
2013,March,7.41%
2013,April,7.54%
2013,May,7.43%
2013,June,7.3%
2013,July,7.4%
2013,August,7.19%
2013,September,7.77%
2013,October,7.89%
2013,November,7.73%
2013,December,7.19%
2014,January,6.61%
2014,February,6.84%
2014,March,7.0%
2014,April,7.14%
2014,May,7.26%
2014,June,7.28%
2014,July,6.94%
2014,August,6.67%
2014,September,7.39%
2014,October,6.67%
2014,November,6.89%
2014,December,7.34%
2015,January,6.04%
2015,February,6.46%
2015,March,5.83%
2015,April,6.24%
2015,May,6.1%
2015,June,5.97%
2015,July,5.92%
2015,August,6.24%
2015,September,6.01%
2015,October,6.04%
2015,November,6.54%
2015,December,5.95%
2016,January,5.19%
2016,February,5.61%
2016,March,5.26%
2016,April,5.56%
2016,May,5.35%
2016,June,5.84%
2016,July,5.14%
2016,August,5.5%
2016,September,5.52%
2016,October,5.38%
2016,November,5.32%
2016,December,5.31%
2017,January,5.34%
2017,February,5.8%
2017,March,5.46%
2017,April,5.83%
2017,May,5.82%
2017,June,5.7%
2017,July,5.42%
2017,August,5.46%
2017,September,6.01%
2017,October,5.79%
2017,November,5.88%
2017,December,5.48%
2018,January,5.27%
2018,February,5.77%
2018,March,5.69%
2018,April,5.64%
2018,May,5.53%
2018,June,5.51%
2018,July,5.58%
2018,August,5.45%
2018,September,5.22%
2018,October,5.17%
2018,November,5.11%
2018,December,5.23%
2019,January,5.39%
2019,February,5.69%
2019,March,5.29%
2019,April,5.69%
2019,May,5.5%
2019,June,5.88%
2019,July,5.32%
2019,August,5.36%
2019,September,5.5%
2019,October,5.56%
2019,November,5.95%
2019,December,5.88%
2020,January,5.79%
2020,February,5.34%
2020,March,5.38%
2020,April,5.81%
2020,May,5.33%
2020,June,5.66%
2020,July,5.33%
2020,August,5.67%
2020,September,5.94%
2020,October,5.71%
2020,November,5.36%
2020,December,5.77%
2021,January,5.78%
2021,February,5.5%
2021,March,5.81%
2021,April,5.69%
2021,May,5.28%
2021,June,5.92%
2021,July,5.76%
2021,August,5.55%
2021,September,5.76%
2021,October,5.89%
2021,November,5.88%
2021,December,5.75%
2022,January,5.82%
2022,February,5.98%
2022,March,6.15%
2022,April,6.04%
2022,May,6.21%
2022,June,6.46%
2022,July,6.48%
2022,August,6.37%
2022,September,6.51%
2022,October,5.87%
2022,November,6.16%
2022,December,6.27%
2023,January,8.87%
2023,February,9.26%
2023,March,8.7%
2023,April,9.25%
2023,May,9.29%
2023,June,9.37%
2023,July,8.88%
2023,August,9.17%
2023,September,8.91%
2023,October,9.28%
2023,November,8.86%
2023,December,9.34%
2024,January,9.81%
2024,February,9.87%
2024,March,9.37%
2024,April,9.86%
2024,May,9.45%
2024,June,9.4%
2024,July,9.7%
2024,August,9.97%
2024,September,9.62%
2024,October,9.73%
2024,November,9.75%
2024,December,10.09%
2025,January,10.1%
2025,February,10.07%
2025,March,10.35%
2025,April,10.31%
2025,May,9.7%
2025,June,9.75%
2025,July,10.08%
2025,August,9.99%
2025,September,10.06%
2025,October,9.99%
2025,November,10.25%
2025,December,10.08%
2026,January,9.94%
2026,February,9.6%
2026,March,8.6%
2026,April,9.04%
2026,May,9.42%
2026,June,9.16%
2026,July,8.32%
