Year,Month,Remittance (Million USD)
2010,January,833.55
2010,February,932.07
2010,March,1083.02
2010,April,1055.42
2010,May,796.18
2010,June,963.79
2010,July,779.43
2010,August,917.62
2010,September,872.29
2010,October,890.58
2010,November,773.02
2010,December,935.35
2011,January,1013.16
2011,February,895.34
2011,March,1076.82
2011,April,1077.18
2011,May,912.81
2011,June,1155.69
2011,July,937.07
2011,August,910.33
2011,September,971.25
2011,October,881.5
2011,November,910.51
2011,December,924.61
2012,January,1082.9
2012,February,1154.81
2012,March,1243.06
2012,April,1326.27
2012,May,1112.69
2012,June,1202.54
2012,July,1116.0
2012,August,1020.51
2012,September,997.46
2012,October,1190.58
2012,November,1194.24
2012,December,1159.88
2013,January,1049.81
2013,February,1004.59
2013,March,1371.23
2013,April,1306.67
2013,May,1009.92
2013,June,1321.22
2013,July,990.76
2013,August,1181.94
2013,September,1039.79
2013,October,1128.01
2013,November,1051.36
2013,December,1096.88
2014,January,1198.59
2014,February,1112.65
2014,March,1572.51
2014,April,1516.6
2014,May,1291.88
2014,June,1551.01
2014,July,1210.75
2014,August,1287.7
2014,September,1089.77
2014,October,1115.3
2014,November,1079.49
2014,December,1146.02
2015,January,1179.64
2015,February,1151.33
2015,March,1556.52
2015,April,1418.66
2015,May,1153.64
2015,June,1472.97
2015,July,1119.86
2015,August,1279.42
2015,September,1103.84
2015,October,1323.99
2015,November,1272.19
2015,December,1133.8
2016,January,967.34
2016,February,1141.23
2016,March,1353.26
2016,April,1359.02
2016,May,1131.74
2016,June,1188.79
2016,July,1043.11
2016,August,991.03
2016,September,1151.46
2016,October,1099.97
2016,November,1037.19
2016,December,979.8
2017,January,1023.78
2017,February,1026.8
2017,March,1347.15
2017,April,1323.43
2017,May,1146.4
2017,June,1280.84
2017,July,983.05
2017,August,1109.38
2017,September,1119.5
2017,October,1077.04
2017,November,1121.66
2017,December,1062.68
2018,January,1231.07
2018,February,1207.74
2018,March,1342.69
2018,April,1367.16
2018,May,1110.65
2018,June,1523.97
2018,July,1180.0
2018,August,1227.6
2018,September,1325.39
2018,October,1164.05
2018,November,1203.53
2018,December,1288.14
2019,January,1374.66
2019,February,1330.53
2019,March,1685.51
2019,April,1640.28
2019,May,1578.41
2019,June,1867.93
2019,July,1492.28
2019,August,1561.48
2019,September,1541.78
2019,October,1362.39
2019,November,1567.62
2019,December,1464.94
2020,January,1825.23
2020,February,1855.72
2020,March,2005.73
2020,April,1919.16
2020,May,1625.94
2020,June,2051.15
2020,July,1828.87
2020,August,1843.56
2020,September,1549.94
2020,October,1723.2
2020,November,1691.1
2020,December,1623.93
2021,January,1623.88
2021,February,1700.42
2021,March,2315.96
2021,April,2052.27
2021,May,1764.1
2021,June,2213.88
2021,July,1709.57
2021,August,1923.33
2021,September,1920.05
2021,October,1670.25
2021,November,1756.53
2021,December,1687.51
2022,January,1609.14
2022,February,1525.76
2022,March,2080.1
2022,April,2036.59
2022,May,1530.66
2022,June,1945.39
2022,July,1818.8
2022,August,1593.91
2022,September,1562.08
2022,October,1677.95
2022,November,1844.82
2022,December,1594.75
2023,January,1788.52
2023,February,1819.47
2023,March,1983.18
2023,April,2188.53
2023,May,1683.28
2023,June,2148.38
2023,July,1775.17
2023,August,1741.37
2023,September,1587.32
2023,October,1844.95
2023,November,1667.03
2023,December,1620.6
2024,January,1984.32
2024,February,2224.72
2024,March,2738.93
2024,April,2389.27
2024,May,2190.28
2024,June,2500.32
2024,July,2248.44
2024,August,2224.15
2024,September,2404.11
2024,October,2395.08
2024,November,2199.99
2024,December,2638.78
2025,January,2185.23
2025,February,2527.65
2025,March,3295.63
2025,April,2752.33
2025,May,2969.56
2025,June,2822.53
2025,July,2477.87
2025,August,2421.89
2025,September,2685.56
2025,October,2562.44
2025,November,2889.73
2025,December,3223.67
2026,January,3171.63
2026,February,3019.45
2026,March,3752.21
2026,April,3127.3
2026,May,3442.58
2026,June,2819.03
2026,July,2858.68
